latency,duration,type,marker_value,key,timestamp,marker_id
3.943182,14.999710,Eyes_Opened,1,-1,1775378859.850365,1
23.948001,15.007518,Eyes_Closed,3,-1,1775378879.855184,2
50.746025,0.000000,InletPort,7,-1,1775378906.653208,3
57.757862,0.000000,InletPort,8,-1,1775378913.665045,4
65.285046,0.000000,InletPort,9,-1,1775378921.192229,5
72.296883,0.000000,InletPort,10,-1,1775378928.204066,6
79.831875,0.000000,InletPort,5,-1,1775378935.739058,7
86.851521,0.000000,InletPort,6,-1,1775378942.758704,8
94.370896,0.000000,InletPort,7,-1,1775378950.278079,9
101.390542,0.000000,InletPort,8,-1,1775378957.297725,10
108.917726,0.000000,InletPort,15,-1,1775378964.824909,11
115.937372,0.000000,InletPort,16,-1,1775378971.844555,12
123.456747,0.000000,InletPort,15,-1,1775378979.363930,13
130.476393,0.000000,InletPort,19,-1,1775378986.383576,14
137.995768,0.000000,InletPort,15,-1,1775378993.902951,15
145.015414,0.000000,InletPort,16,-1,1775379000.922597,16
152.558214,0.000000,InletPort,15,-1,1775379008.465397,17
159.570051,0.000000,InletPort,19,-1,1775379015.477234,18
167.089427,0.000000,InletPort,13,-1,1775379022.996610,19
174.109073,0.000000,InletPort,14,-1,1775379030.016256,20
181.644065,0.000000,InletPort,15,-1,1775379037.551248,21
188.671519,0.000000,InletPort,16,-1,1775379044.578702,22
196.198703,0.000000,InletPort,15,-1,1775379052.105886,23
203.210540,0.000000,InletPort,16,-1,1775379059.117723,24
210.745532,0.000000,InletPort,11,-1,1775379066.652715,25
217.765178,0.000000,InletPort,12,-1,1775379073.672361,26
225.300170,0.000000,InletPort,13,-1,1775379081.207353,27
232.312007,0.000000,InletPort,14,-1,1775379088.219190,28
239.846999,0.000000,InletPort,9,-1,1775379095.754182,29
246.858836,0.000000,InletPort,10,-1,1775379102.766019,30
254.378212,0.000000,InletPort,15,-1,1775379110.285395,31
261.390049,0.000000,InletPort,19,-1,1775379117.297232,32
268.917233,0.000000,InletPort,9,-1,1775379124.824416,33
275.929071,0.000000,InletPort,10,-1,1775379131.836254,34
283.440638,0.000000,InletPort,15,-1,1775379139.347821,35
290.460283,0.000000,InletPort,16,-1,1775379146.367466,36
297.995276,0.000000,InletPort,7,-1,1775379153.902459,37
304.999305,0.000000,InletPort,8,-1,1775379160.906488,38
312.526489,0.000000,InletPort,1,-1,1775379168.433672,39
319.546134,0.000000,InletPort,2,-1,1775379175.453317,40
327.081126,0.000000,InletPort,1,-1,1775379182.988309,41
334.085155,0.000000,InletPort,2,-1,1775379189.992338,42
351.802147,0.000000,InletPort,3,-1,1775379207.709330,43
358.829601,0.000000,InletPort,4,-1,1775379214.736784,44
366.356785,0.000000,InletPort,5,-1,1775379222.263968,45
373.384239,0.000000,InletPort,6,-1,1775379229.291422,46
380.919231,0.000000,InletPort,7,-1,1775379236.826414,47
387.931068,0.000000,InletPort,8,-1,1775379243.838251,48
395.466060,0.000000,InletPort,3,-1,1775379251.373243,49
402.493514,0.000000,InletPort,4,-1,1775379258.400697,50
410.020698,0.000000,InletPort,5,-1,1775379265.927881,51
417.032535,0.000000,InletPort,6,-1,1775379272.939718,52
424.559719,0.000000,InletPort,17,-1,1775379280.466902,53
431.587173,0.000000,InletPort,18,-1,1775379287.494356,54
439.114357,0.000000,InletPort,7,-1,1775379295.021540,55
446.118386,0.000000,InletPort,8,-1,1775379302.025569,56
453.645570,0.000000,InletPort,9,-1,1775379309.552753,57
460.665215,0.000000,InletPort,10,-1,1775379316.572398,58
468.200208,0.000000,InletPort,3,-1,1775379324.107391,59
475.212045,0.000000,InletPort,4,-1,1775379331.119228,60
482.739229,0.000000,InletPort,17,-1,1775379338.646412,61
489.758874,0.000000,InletPort,18,-1,1775379345.666057,62
497.301675,0.000000,InletPort,11,-1,1775379353.208858,63
504.321320,0.000000,InletPort,12,-1,1775379360.228503,64
511.856313,0.000000,InletPort,15,-1,1775379367.763496,65
518.860342,0.000000,InletPort,19,-1,1775379374.767525,66
526.403142,0.000000,InletPort,13,-1,1775379382.310325,67
533.399363,0.000000,InletPort,14,-1,1775379389.306546,68
540.942163,0.000000,InletPort,15,-1,1775379396.849346,69
547.961809,0.000000,InletPort,16,-1,1775379403.868992,70
555.488993,0.000000,InletPort,9,-1,1775379411.396176,71
562.493022,0.000000,InletPort,10,-1,1775379418.400205,72
570.012397,0.000000,InletPort,11,-1,1775379425.919580,73
577.024234,0.000000,InletPort,12,-1,1775379432.931417,74
584.559227,0.000000,InletPort,7,-1,1775379440.466410,75
591.578872,0.000000,InletPort,8,-1,1775379447.486055,76
599.098248,0.000000,InletPort,17,-1,1775379455.005431,77
606.117893,0.000000,InletPort,18,-1,1775379462.025076,78
613.652885,0.000000,InletPort,17,-1,1775379469.560068,79
620.680339,0.000000,InletPort,18,-1,1775379476.587522,80
628.207523,0.000000,InletPort,15,-1,1775379484.114706,81
635.234977,0.000000,InletPort,16,-1,1775379491.142160,82
